Title,Location,Price,features
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²3 roomsFurnished
                        Apartment Amstelveenseweg 162 C                            ,            1075 XN Amsterdam (Schinkelbuurt)        ,"                €3,000 per month            ",120 m²3 roomsUpholstered
                        Apartment Zeeburgerkade                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                €2,100 per month            ",80 m²3 roomsFurnished
                        Apartment Sint Willibrordusstraat 20 II                            ,            1074 XL Amsterdam (Nieuwe Pijp)        ,"                €1,650 per month            ",55 m²2 roomsFurnished
                        Apartment Valkenburgerstraat                            ,            1011 MH Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,100 per month            ",82 m²4 rooms1998
                        Apartment Marco Polostraat                            ,            1056 DM Amsterdam (Van Galenbuurt)        ,"                €1,900 per month            ",75 m²3 roomsUpholstered
                        Apartment Schimmelstraat                            ,            1053 TA Amsterdam (Kinkerbuurt)        ,"                €2,850 per month            ",100 m²3 roomsFurnished
                        Apartment Buitendraaierij 51                            ,            1021 NM Amsterdam (IJplein/Vogelbuurt)        ,"                €1,475 per month            ",46 m²2 rooms1978
                        Apartment Bellamydwarsstraat 4 4                            ,            1053 BD Amsterdam (Kinkerbuurt)        ,"                €2,000 per month            ",50 m²2 roomsFurnished
                        Apartment J.J. Cremerplein                            ,            1054 TK Amsterdam (Overtoomse Sluis)        ,"                €3,700 per month            ",133 m²4 roomsUpholstered or furnished
                        Apartment John Blankensteinstraat 127 A                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,600 per month            ",50 m²2 roomsUpholstered
                        Apartment Raoul Wallenbergstraat 145                            ,"            1102 AX Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,750 per month            ",85 m²3 roomsFurnished
                        Apartment Olympiaweg 64 2                            ,            1076 XC Amsterdam (Stadionbuurt)        ,"                €1,650 per month            ",49 m²2 roomsFurnished
                        Apartment Plantage Muidergracht 73 H                            ,            1018 TN Amsterdam (Weesperbuurt/Plantage)        ,"                €1,850 per month            ",56 m²2 roomsUpholstered
                        Apartment Bankastraat                            ,            1094 EE Amsterdam (Indische Buurt West)        ,"                €1,895 per month            ",55 m²3 roomsFurnished
                        Apartment Postjeskade 5 hs                            ,            1058 DE Amsterdam (Westindische Buurt)        ,"                €1,750 per month            ",55 m²2 roomsFurnished
                        Apartment Milletstraat                            ,            1077 ZC Amsterdam (Apollobuurt)        ,"                €2,450 per month            ",102 m²3 roomsUpholstered
                        Studio John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,350 per month            ",40 m²1 roomFurnished
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",58 m²2 roomsFurnished
                        Apartment Keizersgracht                            ,            1015 CV Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",80 m²2 roomsFurnished
                        Apartment Beethovenstraat 9 A-II                            ,            1077 HL Amsterdam (Apollobuurt)        ,"                €3,250 per month            ",130 m²3 roomsUpholstered
                        Apartment Johannes Verhulststraat                            ,            1075 GZ Amsterdam (Willemspark)        ,"                €4,950 per month            ",170 m²5 roomsUpholstered
                        Apartment Insulindeweg                            ,            1094 MH Amsterdam (Indische Buurt West)        ,"                €2,050 per month            ",80 m²3 roomsFurnished
                        Apartment Johannes van der Waalsstraat                            ,            1098 PG Amsterdam (Middenmeer)        ,"                €2,950 per month            ",115 m²5 roomsFurnished
                        Apartment Nieuwpoortstraat 94 C6                            ,            1055 RZ Amsterdam (Landlust)        ,"                €1,700 per month            ",48 m²2 roomsUpholstered
                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JL Amsterdam (Stadionbuurt)        ,"                €3,450 per month            ",122 m²5 roomsFurnished
                        Apartment Veembroederhof 197                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",110 m²4 roomsFurnished
                        Apartment Osdorpplein                            ,            1068 TD Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",48 m²2 roomsUpholstered
                        Apartment Jacob Marisstraat 86 H                            ,            1058 JA Amsterdam (Hoofddorppleinbuurt)        ,"                €2,750 per month            ",95 m²3 roomsUpholstered
                        Apartment Bloemgracht                            ,            1016 KK Amsterdam (Jordaan)        ,"                €3,500 per month            ",75 m²3 roomsFurnished
                        Apartment Bloemgracht                            ,            1016 KK Amsterdam (Jordaan)        ,"                €2,500 per month            ",65 m²3 roomsFurnished
                        Apartment Pontanusstraat 12                            ,            1093 RW Amsterdam (Dapperbuurt)        ,"                €2,450 per month            ",93 m²4 roomsFurnished
